Date,Open,High,Low,Close
11/30/2021,"0.316%","0.316%","0.364%","0.349%"
11/29/2021,"0.334%","0.292%","0.341%","0.316%"
11/26/2021,"0.249%","0.246%","0.342%","0.334%"
11/25/2021,"0.225%","0.220%","0.250%","0.249%"
11/24/2021,"0.219%","0.198%","0.246%","0.225%"
11/23/2021,"0.300%","0.213%","0.300%","0.219%"
11/22/2021,"0.340%","0.292%","0.351%","0.300%"
11/19/2021,"0.275%","0.255%","0.344%","0.340%"
11/18/2021,"0.243%","0.242%","0.280%","0.275%"
11/17/2021,"0.241%","0.227%","0.254%","0.243%"
11/16/2021,"0.226%","0.217%","0.252%","0.241%"
11/15/2021,"0.257%","0.222%","0.285%","0.226%"
11/12/2021,"0.230%","0.221%","0.267%","0.257%"
11/11/2021,"0.246%","0.220%","0.258%","0.230%"
11/10/2021,"0.296%","0.243%","0.296%","0.246%"
11/09/2021,"0.242%","0.239%","0.301%","0.296%"
11/08/2021,"0.278%","0.241%","0.281%","0.242%"
11/05/2021,"0.224%","0.218%","0.284%","0.278%"
11/04/2021,"0.167%","0.156%","0.231%","0.224%"
11/03/2021,"0.160%","0.147%","0.192%","0.167%"
11/02/2021,"0.099%","0.099%","0.168%","0.160%"
11/01/2021,"0.104%","0.065%","0.117%","0.099%"
10/29/2021,"0.133%","0.060%","0.133%","0.104%"
10/28/2021,"0.176%","0.101%","0.180%","0.133%"
10/27/2021,"0.116%","0.111%","0.181%","0.176%"
10/26/2021,"0.113%","0.102%","0.139%","0.116%"
10/25/2021,"0.100%","0.077%","0.117%","0.113%"
10/22/2021,"0.100%","0.067%","0.104%","0.100%"
10/21/2021,"0.124%","0.084%","0.125%","0.100%"
10/20/2021,"0.102%","0.091%","0.131%","0.124%"
10/19/2021,"0.145%","0.095%","0.172%","0.102%"
10/18/2021,"0.164%","0.114%","0.165%","0.145%"
10/15/2021,"0.188%","0.147%","0.188%","0.164%"
10/14/2021,"0.122%","0.108%","0.189%","0.188%"
10/13/2021,"0.082%","0.082%","0.141%","0.122%"
10/12/2021,"0.119%","0.081%","0.134%","0.082%"
10/11/2021,"0.148%","0.103%","0.150%","0.119%"
10/08/2021,"0.182%","0.142%","0.182%","0.148%"
10/07/2021,"0.176%","0.167%","0.202%","0.182%"
10/06/2021,"0.184%","0.144%","0.196%","0.176%"
10/05/2021,"0.213%","0.178%","0.229%","0.184%"
10/04/2021,"0.222%","0.198%","0.231%","0.213%"
10/01/2021,"0.197%","0.197%","0.238%","0.222%"
09/30/2021,"0.207%","0.173%","0.215%","0.197%"
09/29/2021,"0.196%","0.183%","0.223%","0.207%"
09/28/2021,"0.219%","0.171%","0.219%","0.196%"
09/27/2021,"0.225%","0.189%","0.239%","0.219%"
09/24/2021,"0.255%","0.217%","0.260%","0.225%"
09/23/2021,"0.322%","0.249%","0.322%","0.255%"
09/22/2021,"0.313%","0.302%","0.329%","0.322%"
09/21/2021,"0.318%","0.292%","0.338%","0.313%"
09/20/2021,"0.277%","0.277%","0.333%","0.318%"
09/17/2021,"0.300%","0.263%","0.300%","0.277%"
09/16/2021,"0.305%","0.282%","0.311%","0.300%"
09/15/2021,"0.337%","0.301%","0.347%","0.305%"
09/14/2021,"0.329%","0.299%","0.350%","0.337%"
09/13/2021,"0.327%","0.316%","0.338%","0.329%"
09/10/2021,"0.360%","0.324%","0.364%","0.327%"
09/09/2021,"0.323%","0.317%","0.364%","0.360%"
